Name,Form,HP,Attack,Defense,Speed,Sp Attack,Sp Defense,BST,Types,Type1,Type2,Abilities,Ability1,Ability2,HiddenAbility,Generation,Evolutions
Bulbasaur,,45,49,49,45,65,65,318,"Grass, Poison",Grass,Poison,"Overgrow, None, Chlorophyll",Overgrow,None,Chlorophyll,1,Ivysaur (16)
Ivysaur,,60,62,63,60,80,80,405,"Grass, Poison",Grass,Poison,"Overgrow, None, Chlorophyll",Overgrow,None,Chlorophyll,1,Venusaur (32)
Venusaur,,80,82,83,80,100,100,525,"Grass, Poison",Grass,Poison,"Overgrow, None, Chlorophyll",Overgrow,None,Chlorophyll,1,
Venusaur,Mega,80,100,123,80,122,120,625,"Grass, Poison",Grass,Poison,"Thick Fat, Thick Fat, Thick Fat",Thick Fat,Thick Fat,Thick Fat,1,
Venusaur,Gmax,80,82,83,80,100,100,525,"Grass, Poison",Grass,Poison,"Overgrow, None, Chlorophyll",Overgrow,None,Chlorophyll,1,
Charmander,,39,52,43,65,60,50,309,Fire,Fire,,"Blaze, None, Solar Power",Blaze,None,Solar Power,1,Charmeleon (16)
Charmeleon,,58,64,58,80,80,65,405,Fire,Fire,,"Blaze, None, Solar Power",Blaze,None,Solar Power,1,Charizard (36)
Charizard,,78,84,78,100,109,85,534,"Fire, Flying",Fire,Flying,"Blaze, None, Solar Power",Blaze,None,Solar Power,1,
Charizard,Mega X,78,130,111,100,130,85,634,"Fire, Dragon",Fire,Dragon,"Tough Claws, Tough Claws, Tough Claws",Tough Claws,Tough Claws,Tough Claws,1,
Charizard,Mega Y,78,104,78,100,159,115,634,"Fire, Flying",Fire,Flying,"Drought, Drought, Drought",Drought,Drought,Drought,1,
Charizard,Gmax,78,84,78,100,109,85,534,"Fire, Flying",Fire,Flying,"Blaze, None, Solar Power",Blaze,None,Solar Power,1,
Squirtle,,44,48,65,43,50,64,314,Water,Water,,"Torrent, None, Rain Dish",Torrent,None,Rain Dish,1,Wartortle (16)
Wartortle,,59,63,80,58,65,80,405,Water,Water,,"Torrent, None, Rain Dish",Torrent,None,Rain Dish,1,Blastoise (36)
Blastoise,,79,83,100,78,85,105,530,Water,Water,,"Torrent, None, Rain Dish",Torrent,None,Rain Dish,1,
Blastoise,Mega,79,103,120,78,135,115,630,Water,Water,,"Mega Launcher, Mega Launcher, Mega Launcher",Mega Launcher,Mega Launcher,Mega Launcher,1,
Blastoise,Gmax,79,83,100,78,85,105,530,Water,Water,,"Torrent, None, Rain Dish",Torrent,None,Rain Dish,1,
Caterpie,,45,30,35,45,20,20,195,Bug,Bug,,"Shield Dust, None, Run Away",Shield Dust,None,Run Away,1,Metapod (7)
Metapod,,50,20,55,30,25,25,205,Bug,Bug,,"Shed Skin, None, None",Shed Skin,None,None,1,Butterfree (10)
Butterfree,,60,45,50,70,90,80,395,"Bug, Flying",Bug,Flying,"Compound Eyes, None, Tinted Lens",Compound Eyes,None,Tinted Lens,1,
Butterfree,Gmax,60,45,50,70,90,80,395,"Bug, Flying",Bug,Flying,"Compound Eyes, None, Tinted Lens",Compound Eyes,None,Tinted Lens,1,
Weedle,,40,35,30,50,20,20,195,"Bug, Poison",Bug,Poison,"Shield Dust, None, Run Away",Shield Dust,None,Run Away,1,Kakuna (7)
Kakuna,,45,25,50,35,25,25,205,"Bug, Poison",Bug,Poison,"Shed Skin, None, None",Shed Skin,None,None,1,Beedrill (10)
Beedrill,,65,90,40,75,45,80,395,"Bug, Poison",Bug,Poison,"Swarm, None, Sniper",Swarm,None,Sniper,1,
Beedrill,Mega,65,0,40,145,15,80,345,"Bug, Poison",Bug,Poison,"Adaptability, Adaptability, Adaptability",Adaptability,Adaptability,Adaptability,1,
Pidgey,,40,45,40,56,35,35,251,"Normal, Flying",Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks,1,Pidgeotto (18)
Pidgeotto,,63,60,55,71,50,50,349,"Normal, Flying",Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks,1,Pidgeot (36)
Pidgeot,,83,80,75,101,70,70,479,"Normal, Flying",Normal,Flying,"Keen Eye, Tangled Feet, Big Pecks",Keen Eye,Tangled Feet,Big Pecks,1,
Pidgeot,Mega,83,80,80,0,135,80,458,"Normal, Flying",Normal,Flying,"No Guard, No Guard, No Guard",No Guard,No Guard,No Guard,1,
Rattata,,30,56,35,72,25,35,253,Normal,Normal,,"Run Away, Guts, Hustle",Run Away,Guts,Hustle,1,Raticate (20)
Raticate,,55,81,60,97,50,70,413,Normal,Normal,,"Run Away, Guts, Hustle",Run Away,Guts,Hustle,1,
Rattata,Alola,30,56,35,72,25,35,253,"Dark, Normal",Dark,Normal,"Gluttony, Hustle, Thick Fat",Gluttony,Hustle,Thick Fat,1,Raticate Alola
Raticate,Alola,75,71,70,77,40,80,413,"Dark, Normal",Dark,Normal,"Gluttony, Hustle, Thick Fat",Gluttony,Hustle,Thick Fat,1,
Raticate,Alola Totem,75,71,70,77,40,80,413,"Dark, Normal",Dark,Normal,"Thick Fat, None, None",Thick Fat,None,None,1,
